id,name,description,sale_price,stock_quantity,category_id,image_urls,created_at,updated_at,code,sizes,price,slug
65848984-dea3-460d-bff5-5500381d7aab,JPG Ultra Male,"Notes: Pear, Lavender, Mint, Cinnamon, Vanilla & Amber

A fresh and fruity opening with juicy pear and mint, balanced by warm cinnamon and smooth lavender. It settles into a sweet, creamy vanilla and amber trail that feels playful, confident and addictive.

Best for: Evening • Dates • Parties • Spring & Fall",null,5,null,"[""https://zzhwmxgjuesecmjoigfs.supabase.co/storage/v1/object/public/images/products/1787910573917-ssfu26j8lsb.PNG""]",2026-08-28 09:49:39.617309,2026-08-28 09:49:39.617309,1001,"[{""label"":""50ML"",""price"":10},{""label"":""100ML"",""price"":15}]",10,jpg-ultra-male
103d0c3b-68c8-4305-98a2-70a5df11a1c5,JPG Le Male Elixir,"Notes: Lavender, Tonka Bean, Honey, Benzoin & Tobacco

A rich and addictive fragrance with smooth lavender, warm honey and sweet tonka bean, deepened by benzoin and tobacco. Dark, warm and irresistibly masculine, with a powerful sweet trail.

Best for: Evening • Dates • Special occasions • Cold weather",null,5,null,"[""https://zzhwmxgjuesecmjoigfs.supabase.co/storage/v1/object/public/images/products/1787910672917-s2k7gwvyv4.PNG""]",2026-08-28 09:51:18.019356,2026-08-28 09:51:18.019356,1002,"[{""label"":""50ML"",""price"":10},{""label"":""100ML"",""price"":15}]",10,jpg-le-male-elixir
c469abee-f41e-49d9-af7c-f70e0ec426fb,JPG Le Beau,"Notes: Coconut Wood, Tonka Bean & Bergamot

A fresh and tropical fragrance with sparkling bergamot, creamy coconut wood and a smooth touch of tonka bean. Fresh, sensual and effortlessly attractive.

Best for: Daytime • Dates • Summer • Spring",null,5,null,"[""https://zzhwmxgjuesecmjoigfs.supabase.co/storage/v1/object/public/images/products/1787910743317-bwdbnznk41s.PNG""]",2026-08-28 09:52:29.069297,2026-08-28 09:52:29.069297,1003,"[{""label"":""50ML"",""price"":10},{""label"":""100ML"",""price"":15}]",10,jpg-le-beau
fc3822f1-ccb9-431e-8514-0b0a9b72f5c5,Baccarat Rouge 540,"Notes: Saffron, Jasmine, Amberwood, Ambergris, Fir Resin & Cedar

A radiant and elegant fragrance with spicy saffron and airy jasmine, melting into a warm, woody amber trail. Luxurious, sophisticated and unforgettable, with a scent that stays in the air long after you leave.

Best for: Evening • Special occasions • All seasons",null,5,null,"[""https://zzhwmxgjuesecmjoigfs.supabase.co/storage/v1/object/public/images/products/1787910808637-yjc71a3y6dp.PNG""]",2026-08-28 09:53:34.465689,2026-08-28 09:53:34.465689,1004,"[{""label"":""50ML"",""price"":10},{""label"":""100ML"",""price"":15}]",10,baccarat-rouge-540
ec97ae4f-34d1-4677-8d99-871e1578193e,Stronger with you Absolutely,"Notes: Rum, Chestnut, Cedar & Vanilla

A warm and addictive fragrance with rich rum and creamy chestnut, balanced by smooth cedar and sweet vanilla. Cozy, seductive and effortlessly masculine, with a deliciously deep trail.

Best for: Evening • Dates • Cold weather • Special occasions",null,5,null,"[""https://zzhwmxgjuesecmjoigfs.supabase.co/storage/v1/object/public/images/products/1787910885261-1alhf3xv62x.PNG""]",2026-08-28 09:54:50.630784,2026-08-28 09:54:50.630784,1005,"[{""label"":""50ML"",""price"":10},{""label"":""100ML"",""price"":15}]",10,stronger-with-you-absolutely
c175e09a-2571-4994-9fd3-5fb929219bc9,Stronger With You Intensely,"Notes: Pink Pepper, Juniper, Toffee, Lavender, Cinnamon, Vanilla & Tonka Bean

A warm and addictive fragrance that blends spicy freshness with rich toffee, cinnamon and smooth vanilla. Sweet, deep and confidently masculine, with a cozy trail that feels impossible to ignore.

Best for: Evening • Dates • Cold weather • Special occasions",null,5,null,"[""https://zzhwmxgjuesecmjoigfs.supabase.co/storage/v1/object/public/images/products/1787911132781-i6fti8zbjy.PNG""]",2026-08-28 09:58:56.892438,2026-08-28 09:58:56.892438,1006,"[{""label"":""50ML"",""price"":10},{""label"":""100ML"",""price"":15}]",10,stronger-with-you-intensely
d8f48e3e-43f9-48dc-b7d6-9aa2fbe388e7,Parfum De Marly Althair,"Notes: Cinnamon, Orange Blossom, Bourbon Vanilla, Elemi & Guaiac Wood

A warm and elegant fragrance blending spicy cinnamon with bright orange blossom and rich bourbon vanilla. Smooth, creamy and sophisticated, with a soft woody trail that feels luxurious and addictive.

Best for: Evening • Dates • Special occasions • Fall & Winter",null,5,null,"[""https://zzhwmxgjuesecmjoigfs.supabase.co/storage/v1/object/public/images/products/1787911283053-i6yo0vbwx9l.PNG""]",2026-08-28 10:01:27.497121,2026-08-28 10:01:27.497121,1007,"[{""label"":""50ML"",""price"":10},{""label"":""100ML"",""price"":15}]",10,parfum-de-marly-althair
81bd7d0a-9492-4724-ad66-e9b49d0bc335,Mont Blanc Explorer,"Notes: Bergamot, Pink Pepper, Clary Sage, Haitian Vetiver, Leather, Ambroxan & Patchouli

A fresh and adventurous fragrance with bright bergamot and spicy pink pepper, settling into a smooth woody blend of vetiver, leather and ambroxan. Clean, masculine and effortlessly confident.

Best for: Daytime • Work • Casual occasions • Spring & Summer",null,5,null,"[""https://zzhwmxgjuesecmjoigfs.supabase.co/storage/v1/object/public/images/products/1787911377450-j37f0eo0fgh.PNG""]",2026-08-28 10:03:00.569873,2026-08-28 10:03:00.569873,1008,"[{""label"":""50ML"",""price"":10},{""label"":""100ML"",""price"":15}]",10,mont-blanc-explorer
5ad26a24-655b-4ee4-a4d8-86d1fda3d7f5,Mont Blanc Legend,"Notes: Bergamot, Lavender, Pineapple, Apple, Tonka Bean & Sandalwood

A fresh and effortlessly masculine fragrance with crisp fruits, smooth lavender and a warm touch of tonka bean and sandalwood. Clean, confident and timeless, with a subtle sweetness that feels easy to wear.

Best for: Daytime • Work • Casual occasions • Spring & Summer",null,5,null,"[""https://zzhwmxgjuesecmjoigfs.supabase.co/storage/v1/object/public/images/products/1787911451589-2t2iv0ua8n2.PNG""]",2026-08-28 10:04:15.723367,2026-08-28 10:04:15.723367,1009,"[{""label"":""50ML"",""price"":10},{""label"":""100ML"",""price"":15}]",10,mont-blanc-legend
21808086-c315-4cbc-b4e0-0d34d5b8fc3a,Verscage Eros,"Notes: Mint, Green Apple, Lemon, Tonka Bean, Ambroxan, Geranium, Vanilla & Cedarwood

A fresh and energetic fragrance with crisp mint, juicy green apple and bright lemon, balanced by creamy vanilla and warm tonka bean. Bold, youthful and confidently masculine.

Best for: Daytime • Dates • Parties • Spring & Summer",null,5,null,"[""https://zzhwmxgjuesecmjoigfs.supabase.co/storage/v1/object/public/images/products/1787911514965-kerf3y0806.PNG""]",2026-08-28 10:05:18.524319,2026-08-28 10:05:18.524319,1010,"[{""label"":""50ML"",""price"":10},{""label"":""100ML"",""price"":15}]",10,verscage-eros
